Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
1839,E10WH-PW-FC-BOX,E,"#10 PISTOL WH FC BOX",160000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"11/04/2019 10:23:54 am","9597 ","Southland Envelopes - Sacramento "
1841,E10WH-PW-FC-BOX,E,"#10 PISTOL WH FC BOX",340000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"11/04/2019 2:02:08 pm",,"Southland Envelopes - Sacramento "
1848,P1218-100WHGL-T,P,"WHITE 100# GL TEXT 12X18",30000,Each,,"0000-00-00 00:00:00",,,,0.041,0.000000,0.000000,12X18,WHITE,,,"Letter, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/05/2019 1:36:05 pm",A-00191,"Spicers - Denver"
1848,P1218-80WHGL-T,P,"WHITE 80# GL TEXT 12X18",30000,Each,,"0000-00-00 00:00:00",,,,0.0328,0.000000,0.000000,12X18,WHITE,,,"Letter, Post Card, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/05/2019 1:36:05 pm",A-00191,"Spicers - Denver"
1850,E69WH-0W,E,"6X9 WHITE REGULAR BLANK ",30500,Each,,"0000-00-00 00:00:00",,,,0.038,0.000000,0.000000,6X9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/05/2019 1:37:31 pm",A-00186,"Spicers - Denver"
1851,EA7WH-0W,E,"A7 WHITE",20000,Each,,"0000-00-00 00:00:00",,,,0.0411,0.000000,0.000000,A7,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/05/2019 1:38:13 pm",A-00188,"Spicers - Denver"
1854,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",510000,Each,,"0000-00-00 00:00:00",,,6,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/06/2019 7:40:06 am",A-00179,"Ennis - Denver"
1860,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",250000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"11/06/2019 10:29:22 am",9597,"Southland Envelopes - Sacramento "
1861,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",255000,Each,,"0000-00-00 00:00:00",,,3,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/06/2019 12:49:30 pm",A-00179,"Ennis - Denver"
1862,P1218-100WHGL-T,P,"WHITE 100# GL TEXT 12X18",50000,Each,,"0000-00-00 00:00:00",,,,0.041,0.000000,0.000000,12X18,WHITE,,,"Letter, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/06/2019 12:57:03 pm",A-00191,"Spicers - Denver"
